transaction_id,bank_id,customer_id,transaction_amount,transaction_date
595fbc6c-9cc5-44fa-8fc5-6f70e0a2909b,1007,2043,2989.78,2025-07-24
fa427870-d966-4398-9b75-3e3fd0bcbf29,1004,2012,2293.15,2025-07-13
68c9433b-0235-4ee5-bb4c-0a1f84455418,1008,2013,1710.41,2025-05-20
094ac07a-9c89-49f5-9284-768c862113cf,1005,2036,2344.39,2025-07-22
189fb491-17c3-4494-bcce-b8ae86d7b567,1007,2039,1563.96,2025-05-29
44bedefc-52a3-4a01-a5ae-e9ae9d6394c1,1003,2034,2196.23,2025-06-25
7e46562f-712e-41bc-a5cd-2d58f8641bcc,1007,2006,1800.98,2025-06-20
8cb85b01-ee2e-4cd9-aaed-2740ce74679b,1008,2038,2835.36,2025-07-06
599daa68-0d9e-4a7c-808c-66fd023eec13,1005,2040,1197.24,2025-05-14
84858d61-ebb5-470d-8548-2e327818928a,1004,2008,4943.4,2025-07-08
d59d8007-2d87-4dca-80b7-1c25f5df7d38,1008,2008,2509.34,2025-05-14
e292e97c-86da-4c3f-9ddd-cb601f55990b,1008,2040,978.87,2025-06-10
b4ba411e-bcb0-4902-b4eb-c2dd4449a8f4,1003,2033,2390.56,2025-06-09
2303bd87-0a31-4fbd-8aac-c14187ec5978,1006,2034,4333.41,2025-07-22
ebcd0990-5f22-4f6d-9738-13866b377877,1005,2044,118.82,2025-06-01
65830aab-43cb-4abf-b909-0192e77bcad2,1002,2015,3400.98,2025-05-21
2d2a2000-9b60-45ea-85c7-621afcb1e9d9,1008,2036,2744.36,2025-05-19
77181198-f17c-4bfe-a1ce-be40bbca76f4,1006,2035,856.09,2025-07-06
82798d3b-ae71-468a-af70-2bb78148813e,1002,2046,4089.21,2025-07-28
f79ee04c-3e0e-46c8-8b25-5f0ecb3be796,1005,2022,1850.73,2025-05-11
f0293e50-3e72-44d9-8b82-c26dd953d065,1001,2023,1476.07,2025-07-18
65c5fb8a-0e3a-42f9-97ea-beb2fb1ce22c,1006,2040,4142.34,2025-06-22
26cf774d-236a-47b3-819d-4689be9a7cf9,1009,2045,3196.24,2025-06-25
149dab7f-0229-4a42-beea-6101815e1397,1001,2022,4492.31,2025-08-02
f999c0c5-bea8-48b2-97eb-fdb517647de1,1003,2005,3153.12,2025-06-03
319712af-ef5d-43c7-8930-f230ce1c8e6b,1007,2031,3706.68,2025-05-31
c011db11-10a5-45a1-825a-990a2ec5941a,1004,2013,4183.87,2025-06-17
f1105964-e5c3-491e-a398-0aedea4ff03e,1009,2028,283.15,2025-05-19
1934facf-a5c9-4ba8-8d20-98ddf2acbde2,1003,2020,3882.48,2025-05-20
52d85054-bea3-44b3-9882-725818be8ed1,1005,2033,3072.4,2025-05-22
aa8b46e1-d0fc-40ac-9858-c0d0d6a50294,1003,2016,356.84,2025-05-19
c648e295-a264-4f33-bd60-9d7c47876e09,1007,2029,2547.8,2025-07-11
921305fe-841b-4b8f-880f-908e5bd0f143,1005,2023,421.47,2025-07-28
a68a1fef-4587-4214-a457-c784ebdc55f5,1009,2024,3682.38,2025-07-21
